"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1790","Select sort option 'Price (high to low)'","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","1929","Select sort option 'Price (low to high)'","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","1631","Click Add to Cart butto and check it changes to Remove button'","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","1340","Enter XSS in username","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","1699","Login as standard_user Count all product cards on /inventory.html","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","1676","Add 3 items to cart Verify cart badge","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","6374","Login as performance_glitch_user Measure time to load inventory","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","1317","Enter SQL injection in username","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","1349","Empty username and password, check error message","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","1546","valid username and invalid password, check error message","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","1903","Select sort option 'Name (Z to A)'","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","2014","Select sort option 'Name (A to Z)'","chromium","2026-05-13","passed","2026-05-13","Inventory Page Tests","inventory.spec.ts","",""
"","819","authenticate","setup","2026-05-13","passed","2026-05-13","","auth.spec.ts","",""
"","1549","Without logging in Navigate directly to /inventory.html","chromium","2026-05-13","passed","2026-05-13","Unauthenticated Access","login.spec.ts","",""
"","1669","locked-out username and valid password, check error message","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","2769","Successfull login and Successfull logout","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
"","1599","valid username and empty password, check error message","chromium","2026-05-13","passed","2026-05-13","Login Tests","login.spec.ts","",""
